,steel_design_description,YieldStrength,TensileStrength,TotalElongation
29137,06CSK 675150,44.3,60.5,31.81
29642,06CSK 675150,47.2,59.1,34.06
29670,06CSK 675150,45.7,57.9,33.15
29686,06CSK 675150,47.7,61.6,33.34
29689,06CSK 675150,45.1,59.8,33.95
35067,06CSK 675150,47.4,62.5,31.15
35275,06CSK 675150,47.3,60.9,30.17
35282,06CSK 675150,45.1,60.6,29.57
35285,06CSK 675150,43.5,59.9,31.4
35460,06CSK 675150,44.9,60.2,32.2
35463,06CSK 675150,47.1,60.6,30.34
35517,06CSK 675150,44.8,60.4,31.32
35529,06CSK 675150,49.4,61.7,31.8
35534,06CSK 675150,50.4,60.5,32.01
35539,06CSK 675150,47.6,59.7,32.89
38010,06CSK 675150,44.6,60.6,29.28
38026,06CSK 675150,49.8,62.4,28.69
38057,06CSK 675150,45.2,63.1,29.72
38199,06CSK 675150,45.7,60.0,33.53
38204,06CSK 675150,47.3,61.1,30.2
38206,06CSK 675150,45.9,61.4,31.45
38264,06CSK 675150,46.1,59.9,31.65
38265,06CSK 675150,45.7,58.6,33.59
38283,06CSK 675150,48.0,60.8,30.52
38284,06CSK 675150,43.9,57.0,33.13
38286,06CSK 675150,44.2,60.0,29.07
38294,06CSK 675150,45.5,59.3,29.2
40303,06CSK 675150,46.5,58.9,29.67
41079,06CSK 675150,48.8,63.6,31.01
41098,06CSK 675150,46.4,61.1,32.25
41102,06CSK 675150,45.4,60.5,33.55
41104,06CSK 675150,45.8,60.7,31.65
41106,06CSK 675150,44.5,58.4,32.66
41260,06CSK 675150,48.1,62.6,32.16
41265,06CSK 675150,44.0,57.2,35.63
41709,06CSK 675150,47.2,59.9,32.88
41771,06CSK 675150,41.5,57.5,35.81
41779,06CSK 675150,40.5,56.5,35.44
41785,06CSK 675150,43.9,59.4,31.55
41792,06CSK 675150,54.3,63.0,22.96
41867,06CSK 675150,48.0,60.4,33.06
41870,06CSK 675150,47.3,60.0,32.32
41875,06CSK 675150,48.7,60.4,32.35
41882,06CSK 675150,46.2,59.5,34.01
41884,06CSK 675150,48.6,60.4,29.91
41887,06CSK 675150,44.8,59.5,32.85
41892,06CSK 675150,46.2,59.8,31.95
41935,06CSK 675150,44.8,59.7,30.99
41937,06CSK 675150,45.5,58.6,33.9
42500,06CSK 675150,46.8,59.8,33.11
42505,06CSK 675150,45.8,58.6,36.54
42518,06CSK 675150,46.3,60.1,33.07
42526,06CSK 675150,47.1,60.1,29.43
42530,06CSK 675150,46.0,60.4,32.31
42537,06CSK 675150,48.2,61.7,28.37
42542,06CSK 675150,49.2,62.4,31.52
42545,06CSK 675150,46.7,60.9,31.51
42550,06CSK 675150,47.8,61.0,31.29
42553,06CSK 675150,48.7,62.4,29.98
42607,06CSK 675150,52.1,62.3,22.0
42612,06CSK 675150,48.6,61.5,24.75
42616,06CSK 675150,50.0,60.4,32.72
42648,06CSK 675150,54.5,65.5,23.31
42653,06CSK 675150,48.4,61.8,31.2
42658,06CSK 675150,54.0,63.7,28.22
42842,06CSK 675150,46.3,60.7,31.68
42862,06CSK 675150,53.5,64.0,29.46
42866,06CSK 675150,50.6,62.8,30.9
42869,06CSK 675150,53.5,64.2,22.85
42886,06CSK 675150,44.5,58.5,30.15
42929,06CSK 675150,47.7,60.5,30.6
43424,06CSK 675150,45.1,59.3,34.81
43430,06CSK 675150,50.3,62.7,31.17
44382,06CSK 675150,45.3,59.7,28.17
44438,06CSK 675150,46.6,60.2,31.67
44444,06CSK 675150,46.1,58.1,31.11
45324,06CSK 675150,44.3,59.8,32.26
46299,06CSK 675150,43.8,59.4,34.12
46319,06CSK 675150,46.3,61.7,34.13
46321,06CSK 675150,50.8,64.5,27.51
46327,06CSK 675150,49.0,61.7,31.11
46404,06CSK 675150,45.9,61.2,28.5
46409,06CSK 675150,44.4,60.0,32.13
46453,06CSK 675150,47.8,59.9,29.29
46463,06CSK 675150,45.3,58.8,33.17
46465,06CSK 675150,46.8,60.5,31.75
46474,06CSK 675150,45.1,59.6,32.22
46478,06CSK 675150,44.2,58.9,32.85
48276,06CSK 675150,52.8,64.4,30.4
48284,06CSK 675150,52.6,63.4,29.89
48834,06CSK 675150,42.8,59.3,34.67
48895,06CSK 675150,47.5,61.8,31.55
49083,06CSK 675150,45.5,60.8,30.2
49089,06CSK 675150,48.3,63.5,21.46
49093,06CSK 675150,46.3,59.0,29.71
49098,06CSK 675150,44.0,58.8,29.3
49292,06CSK 675150,46.9,61.3,19.82
49296,06CSK 675150,45.3,60.8,32.4
50711,06CSK 675150,43.9,59.0,32.85
50722,06CSK 675150,46.7,63.0,29.5
50731,06CSK 675150,47.5,63.7,29.2
50734,06CSK 675150,45.2,60.4,31.52
50739,06CSK 675150,46.5,60.9,25.36
50742,06CSK 675150,47.1,61.0,27.8
50747,06CSK 675150,47.8,63.6,25.91
50750,06CSK 675150,46.2,61.8,29.02
50841,06CSK 675150,59.5,63.2,23.68
51087,06CSK 675150,46.3,62.9,29.37
53426,06CSK 675150,45.4,60.8,32.75
53551,06CSK 675150,45.2,58.7,36.08
54442,06CSK 675150,44.4,58.4,34.57
54451,06CSK 675150,47.0,61.9,28.35
54457,06CSK 675150,46.5,62.0,33.64
54459,06CSK 675150,46.5,60.4,32.34
54465,06CSK 675150,45.1,60.3,33.22
54469,06CSK 675150,46.0,60.5,32.68
54537,06CSK 675150,43.6,59.4,29.57
54553,06CSK 675150,45.1,60.6,34.44
54556,06CSK 675150,46.9,59.9,32.12
54560,06CSK 675150,44.8,60.3,35.65
54562,06CSK 675150,46.8,61.1,30.89
54564,06CSK 675150,48.8,62.0,32.01
54577,06CSK 675150,46.3,62.1,30.95
55566,06CSK 675150,46.8,60.9,31.24
55571,06CSK 675150,46.6,60.4,23.42
55573,06CSK 675150,42.5,58.5,32.96
55578,06CSK 675150,44.2,59.5,35.51
55587,06CSK 675150,41.8,56.6,25.0
55631,06CSK 675150,43.6,59.3,31.46
55703,06CSK 675150,45.1,60.4,34.66
55709,06CSK 675150,47.0,62.0,35.43
55717,06CSK 675150,50.7,64.0,33.39
55720,06CSK 675150,46.3,61.5,31.12
55815,06CSK 675150,50.8,64.9,26.11
56422,06CSK 675150,46.5,61.5,35.84
56612,06CSK 675150,44.5,61.2,36.84
56616,06CSK 675150,44.2,60.9,34.58
56734,06CSK 675150,49.4,62.3,32.41
56737,06CSK 675150,48.5,62.1,34.1
56738,06CSK 675150,46.4,61.3,30.69
56741,06CSK 675150,48.3,62.1,24.51
56746,06CSK 675150,46.9,61.7,31.69
56816,06CSK 675150,49.8,62.9,34.62
56832,06CSK 675150,53.6,64.1,31.51
56837,06CSK 675150,49.3,62.1,36.84
56842,06CSK 675150,45.8,59.5,31.26
56850,06CSK 675150,51.0,63.8,33.22
56852,06CSK 675150,52.1,64.0,29.6
57851,06CSK 675150,49.5,63.1,31.93
57854,06CSK 675150,52.1,63.7,30.81
58148,06CSK 675150,45.3,60.8,35.11
58162,06CSK 675150,48.9,61.3,32.14
58167,06CSK 675150,51.7,62.8,21.18
58388,06CSK 675150,50.2,64.3,29.13
58461,06CSK 675150,51.9,65.3,35.6
58462,06CSK 675150,46.3,62.1,36.36
59651,06CSK 675150,46.0,60.9,35.82
59662,06CSK 675150,47.5,59.8,35.0
64161,06CSK 675150,46.9,60.5,33.46
64168,06CSK 675150,48.0,61.3,26.56
64170,06CSK 675150,46.1,60.2,36.42
64176,06CSK 675150,47.9,60.8,32.14
64179,06CSK 675150,48.8,62.2,31.43
64182,06CSK 675150,45.1,61.7,33.89
64203,06CSK 675150,49.7,62.6,21.16
64538,06CSK 675150,55.2,65.7,25.33
64615,06CSK 675150,45.7,60.2,35.69
61948,06NB50 600050,59.6,68.7,34.36
61957,06NB50 600050,61.6,68.5,36.87
62136,06NB50 600050,61.3,69.0,35.36
62139,06NB50 600050,60.4,68.9,28.45
62141,06NB50 600050,60.6,70.1,33.06
62147,06NB50 600050,61.2,68.7,33.57
62153,06NB50 600050,61.6,68.9,34.84
62160,06NB50 600050,59.5,68.6,35.61
62162,06NB50 600050,58.4,67.2,32.72
62164,06NB50 600050,60.3,69.1,33.82
62166,06NB50 600050,60.3,68.1,34.43
62167,06NB50 600050,59.0,67.5,37.21
62181,06NB50 600050,63.1,70.2,31.03
62183,06NB50 600050,63.5,69.9,29.88
62186,06NB50 600050,62.9,70.5,29.98
62187,06NB50 600050,58.4,69.3,36.85
62189,06NB50 600050,58.6,67.9,37.39
63706,06NB50 600050,65.9,72.2,27.63
63714,06NB50 600050,60.4,69.4,35.58
63715,06NB50 600050,61.8,70.4,31.37
64876,06NB50 600050,66.6,73.2,31.42
64878,06NB50 600050,61.6,69.2,31.13
64881,06NB50 600050,66.5,72.5,30.29
64883,06NB50 600050,65.5,72.6,31.07
64885,06NB50 600050,65.5,72.8,32.87
64889,06NB50 600050,65.7,71.5,31.13
64891,06NB50 600050,65.6,72.6,30.45
64895,06NB50 600050,65.6,72.5,32.5
64897,06NB50 600050,63.9,71.5,33.22
64900,06NB50 600050,63.1,71.2,32.31
64904,06NB50 600050,66.3,71.8,31.14
64906,06NB50 600050,68.4,74.2,26.81
64909,06NB50 600050,66.1,72.3,30.29
64912,06NB50 600050,64.9,73.2,29.06
64916,06NB50 600050,55.9,71.6,32.33
64918,06NB50 600050,60.8,70.8,34.35
64921,06NB50 600050,56.4,70.2,34.17
64954,06NB50 600050,67.7,72.6,27.89
88,06NB50 625025,68.5,75.0,26.71
219,06NB50 625025,60.2,68.1,32.8
323,06NB50 625025,55.5,67.1,29.98
1698,06NB50 625025,63.1,75.2,31.35
1702,06NB50 625025,66.9,72.8,29.51
2830,06NB50 625025,63.5,72.3,29.68
2842,06NB50 625025,63.3,70.3,29.04
2851,06NB50 625025,64.1,69.3,28.33
2881,06NB50 625025,63.0,69.2,29.63
2973,06NB50 625025,65.5,71.1,30.84
2977,06NB50 625025,64.6,70.6,31.71
2979,06NB50 625025,63.8,69.8,30.0
2982,06NB50 625025,63.1,69.2,29.95
2984,06NB50 625025,65.1,70.5,31.7
3279,06NB50 625025,66.9,73.6,25.76
3285,06NB50 625025,69.8,75.9,25.72
4199,06NB50 625025,63.7,70.6,29.62
6769,06NB50 625025,67.0,74.6,25.92
6770,06NB50 625025,68.0,74.4,26.47
6775,06NB50 625025,64.3,74.1,27.19
6778,06NB50 625025,60.6,71.2,27.79
6783,06NB50 625025,59.8,69.7,29.43
8837,06NB50 625025,63.9,71.9,29.08
9040,06NB50 625025,65.5,71.7,29.08
9071,06NB50 625025,61.7,70.5,30.11
9073,06NB50 625025,64.2,70.8,30.03
9077,06NB50 625025,64.2,72.0,29.2
9081,06NB50 625025,64.0,72.0,27.96
9082,06NB50 625025,64.1,72.0,28.31
9084,06NB50 625025,64.1,72.2,28.04
9088,06NB50 625025,65.1,72.6,29.35
10244,06NB50 625025,62.8,70.9,28.92
10248,06NB50 625025,61.4,70.1,28.51
10252,06NB50 625025,64.7,71.0,29.24
10256,06NB50 625025,64.4,71.9,28.82
10266,06NB50 625025,65.0,74.0,24.18
10267,06NB50 625025,65.1,72.3,26.02
10269,06NB50 625025,59.9,66.6,29.85
10271,06NB50 625025,64.3,72.4,27.37
10272,06NB50 625025,65.0,72.2,27.78
10650,06NB50 625025,66.6,74.5,27.79
10668,06NB50 625025,62.3,71.3,29.66
15232,06NB50 625025,63.0,71.4,29.76
15237,06NB50 625025,65.0,74.4,26.08
15604,06NB50 625025,64.9,71.3,28.38
15787,06NB50 625025,62.4,70.3,30.63
15795,06NB50 625025,63.5,71.4,27.98
16052,06NB50 625025,64.1,73.2,32.61
16055,06NB50 625025,63.7,71.6,29.88
16059,06NB50 625025,61.2,70.4,29.94
16062,06NB50 625025,64.0,71.4,28.46
16064,06NB50 625025,64.7,72.6,29.8
16068,06NB50 625025,65.5,73.5,26.14
17935,06NB50 625025,65.1,72.8,29.55
17937,06NB50 625025,65.6,72.6,30.11
17944,06NB50 625025,62.2,71.8,30.27
17948,06NB50 625025,63.1,72.1,30.52
18011,06NB50 625025,64.5,76.0,30.44
18015,06NB50 625025,61.6,70.8,29.37
18018,06NB50 625025,63.8,71.7,28.18
18023,06NB50 625025,64.7,72.0,26.14
18799,06NB50 625025,62.3,73.0,29.46
18805,06NB50 625025,66.7,74.5,25.77
18809,06NB50 625025,62.6,73.1,31.94
18813,06NB50 625025,65.2,73.6,28.86
18814,06NB50 625025,65.9,74.2,30.43
18816,06NB50 625025,65.5,73.8,32.41
23677,06NB50 625025,65.7,74.2,19.64
23688,06NB50 625025,64.5,74.0,30.91
24806,06NB50 625025,61.0,69.9,30.15
24808,06NB50 625025,60.1,70.2,31.96
24816,06NB50 625025,61.9,70.5,30.69
24818,06NB50 625025,63.1,71.2,28.37
24820,06NB50 625025,64.0,71.3,28.97
24826,06NB50 625025,66.0,73.0,23.52
26537,06NB50 625025,61.8,70.3,29.49
26541,06NB50 625025,65.8,73.0,30.23
26850,06NB50 625025,62.7,70.0,35.86
26851,06NB50 625025,63.3,69.4,34.66
30611,06NB50 625025,62.2,70.4,31.16
30612,06NB50 625025,63.0,70.5,29.62
30639,06NB50 625025,63.9,70.8,29.74
30643,06NB50 625025,65.5,73.5,29.97
30647,06NB50 625025,66.1,76.1,28.95
30733,06NB50 625025,62.0,70.3,31.21
30737,06NB50 625025,62.5,71.3,29.77
30832,06NB50 625025,63.1,71.5,31.11
31071,06NB50 625025,64.0,71.1,29.88
31078,06NB50 625025,65.7,71.5,31.85
31083,06NB50 625025,65.5,72.7,29.54
31087,06NB50 625025,63.7,72.2,29.14
31090,06NB50 625025,65.6,73.7,27.42
31094,06NB50 625025,67.0,74.3,25.61
31097,06NB50 625025,65.0,72.3,28.95
31104,06NB50 625025,59.4,72.0,30.58
34161,06NB50 625025,65.6,72.5,29.14
34162,06NB50 625025,64.0,72.3,28.71
34169,06NB50 625025,63.1,71.8,26.6
34172,06NB50 625025,63.1,70.2,26.36
34178,06NB50 625025,63.8,73.6,26.89
34193,06NB50 625025,64.6,72.6,26.28
34232,06NB50 625025,60.4,68.8,28.11
34236,06NB50 625025,62.3,70.8,27.54
34240,06NB50 625025,63.8,71.1,27.33
34243,06NB50 625025,63.5,71.7,25.86
34247,06NB50 625025,62.4,71.2,29.71
34250,06NB50 625025,63.6,72.5,25.46
34254,06NB50 625025,63.0,71.9,25.56
34257,06NB50 625025,62.3,71.4,28.13
34308,06NB50 625025,64.9,74.7,23.51
35076,06NB50 625025,60.1,69.9,29.87
35079,06NB50 625025,65.8,73.6,26.68
36299,06NB50 625025,61.7,70.6,28.58
36542,06NB50 625025,62.8,70.5,26.16
36546,06NB50 625025,61.1,70.2,28.77
36552,06NB50 625025,62.5,71.4,26.43
36554,06NB50 625025,62.0,70.5,26.7
36561,06NB50 625025,63.2,73.1,25.35
37280,06NB50 625025,62.5,71.0,31.85
38888,06NB50 625025,62.3,69.5,32.57
39003,06NB50 625025,60.7,68.2,32.13
39102,06NB50 625025,62.7,70.9,32.29
39170,06NB50 625025,63.5,72.1,31.74
39178,06NB50 625025,62.1,70.0,34.19
40495,06NB50 625025,61.2,69.8,33.46
40648,06NB50 625025,61.7,70.7,29.8
40651,06NB50 625025,62.6,71.6,29.57
40657,06NB50 625025,61.1,69.6,31.0
42222,06NB50 625025,61.4,69.2,31.05
42289,06NB50 625025,64.0,69.8,30.46
42293,06NB50 625025,64.6,70.3,29.7
42336,06NB50 625025,62.8,72.2,28.14
44838,06NB50 625025,64.9,73.4,25.46
46769,06NB50 625025,64.6,74.2,27.25
46853,06NB50 625025,61.5,70.8,29.47
46857,06NB50 625025,61.6,69.9,32.95
46862,06NB50 625025,65.0,71.7,31.17
46863,06NB50 625025,64.8,72.5,28.15
46867,06NB50 625025,65.6,71.6,28.82
46870,06NB50 625025,62.0,71.5,31.86
46992,06NB50 625025,62.3,70.9,33.8
46997,06NB50 625025,61.7,70.4,31.0
47003,06NB50 625025,63.0,70.3,30.42
47005,06NB50 625025,63.2,71.7,28.81
49693,06NB50 625025,61.5,70.8,34.44
49696,06NB50 625025,62.3,72.4,31.59
49701,06NB50 625025,65.8,72.4,30.54
49704,06NB50 625025,60.9,69.3,33.44
49785,06NB50 625025,57.4,67.9,34.23
49791,06NB50 625025,59.2,69.5,29.82
51336,06NB50 625025,61.2,70.1,31.89
52313,06NB50 625025,64.0,71.4,24.99
52316,06NB50 625025,59.1,68.5,32.69
52328,06NB50 625025,61.4,71.4,34.22
52331,06NB50 625025,63.3,70.4,29.5
52519,06NB50 625025,59.1,70.3,27.72
52522,06NB50 625025,60.8,72.8,23.4
52523,06NB50 625025,60.1,71.6,28.72
52524,06NB50 625025,65.8,73.0,24.62
52525,06NB50 625025,66.4,77.9,24.39
53885,06NB50 625025,61.8,71.0,26.38
54027,06NB50 625025,60.2,68.2,30.82
54141,06NB50 625025,65.0,73.7,28.0
54174,06NB50 625025,61.1,71.0,29.91
54209,06NB50 625025,62.5,71.9,30.77
54239,06NB50 625025,62.7,71.8,30.73
54245,06NB50 625025,64.0,73.1,32.78
55121,06NB50 625025,60.2,70.0,35.47
55125,06NB50 625025,61.2,68.8,28.82
55127,06NB50 625025,59.7,69.1,30.9
55133,06NB50 625025,62.0,70.9,34.87
57075,06NB50 625025,60.4,69.7,32.41
57095,06NB50 625025,61.0,70.8,27.42
57099,06NB50 625025,62.2,71.2,30.99
60188,06NB50 625025,58.7,67.3,25.0
60205,06NB50 625025,60.9,69.8,34.21
60217,06NB50 625025,59.5,69.1,24.06
60235,06NB50 625025,61.0,70.7,30.89
60238,06NB50 625025,59.9,69.5,29.6
61894,06NB50 625025,60.0,67.6,34.54
61897,06NB50 625025,61.3,69.4,32.86
61900,06NB50 625025,59.0,69.8,29.15
61903,06NB50 625025,61.9,69.5,31.17
61905,06NB50 625025,61.1,69.3,35.65
61906,06NB50 625025,65.8,73.1,26.72
61951,06NB50 625025,60.6,71.4,29.02
61953,06NB50 625025,66.7,72.4,26.98
61959,06NB50 625025,62.0,70.4,30.89
63017,06NB50 625025,67.4,73.7,28.58
63020,06NB50 625025,63.9,72.7,29.16
63028,06NB50 625025,65.3,72.5,26.81
63056,06NB50 625025,65.5,73.1,32.34
63066,06NB50 625025,67.2,73.8,28.6
63072,06NB50 625025,65.6,72.9,34.0
63073,06NB50 625025,67.8,73.4,31.5
63076,06NB50 625025,62.3,70.8,36.33
63093,06NB50 625025,62.8,71.5,32.93
63696,06NB50 625025,63.0,73.0,29.06
63699,06NB50 625025,59.4,69.0,23.75
63703,06NB50 625025,62.0,72.6,26.8
63719,06NB50 625025,63.1,73.9,27.39
63723,06NB50 625025,64.4,73.7,26.0
63727,06NB50 625025,65.0,72.5,28.2
63728,06NB50 625025,61.9,71.2,24.12
63776,06NB50 625025,63.2,70.9,35.85
63779,06NB50 625025,63.2,71.4,27.0
63784,06NB50 625025,65.6,72.2,31.55
63794,06NB50 625025,66.1,73.7,30.41
63800,06NB50 625025,66.3,73.4,26.1
63803,06NB50 625025,64.7,71.7,29.15
63817,06NB50 625025,62.6,72.4,29.41
63824,06NB50 625025,64.9,72.9,29.22
63889,06NB50 625025,62.6,69.3,34.39
63893,06NB50 625025,63.6,70.6,29.87
63898,06NB50 625025,64.4,71.8,29.08
64960,06NB50 625025,60.5,71.5,33.31
64961,06NB50 625025,64.7,72.2,30.49
64966,06NB50 625025,66.7,73.1,30.76
64969,06NB50 625025,66.4,72.7,30.63
64971,06NB50 625025,65.7,72.9,27.44
10,06NB50 625125,57.5,67.0,32.74
271,06NB50 625125,57.2,67.7,33.41
2835,06NB50 625125,63.1,69.5,29.84
2839,06NB50 625125,60.1,67.2,29.81
2875,06NB50 625125,64.2,69.9,28.45
3043,06NB50 625125,58.5,70.0,30.98
3047,06NB50 625125,59.8,67.8,30.91
3058,06NB50 625125,60.2,67.8,30.71
3066,06NB50 625125,63.5,70.4,29.53
3071,06NB50 625125,62.6,69.8,31.61
3079,06NB50 625125,62.7,69.5,29.49
3119,06NB50 625125,67.9,73.1,27.38
4217,06NB50 625125,62.9,69.1,28.43
4228,06NB50 625125,63.7,71.6,27.53
4234,06NB50 625125,61.1,69.5,28.81
4238,06NB50 625125,59.7,67.4,31.74
4239,06NB50 625125,60.9,69.5,29.59
4244,06NB50 625125,59.9,67.1,31.96
4249,06NB50 625125,59.7,67.5,30.72
4253,06NB50 625125,58.7,67.6,27.98
4257,06NB50 625125,59.1,68.1,28.9
4260,06NB50 625125,53.0,64.3,31.27
8848,06NB50 625125,61.0,68.8,29.38
8855,06NB50 625125,65.8,73.1,27.34
8858,06NB50 625125,65.4,72.2,28.92
8859,06NB50 625125,64.2,71.7,30.65
8907,06NB50 625125,63.8,71.2,29.77
8910,06NB50 625125,61.1,69.3,30.91
8913,06NB50 625125,64.2,71.7,26.65
8915,06NB50 625125,64.5,70.8,27.87
8918,06NB50 625125,64.6,72.1,29.64
8920,06NB50 625125,59.2,68.3,31.88
8922,06NB50 625125,65.1,73.0,29.28
8923,06NB50 625125,60.7,68.1,30.17
8925,06NB50 625125,57.7,67.7,32.52
9047,06NB50 625125,63.7,71.3,26.32
9051,06NB50 625125,60.0,69.8,29.33
9055,06NB50 625125,59.7,70.0,30.27
9057,06NB50 625125,61.8,69.8,28.55
9059,06NB50 625125,61.8,70.2,26.93
9063,06NB50 625125,57.9,70.6,26.71
9066,06NB50 625125,61.3,70.4,28.48
9098,06NB50 625125,62.7,69.5,30.28
9099,06NB50 625125,61.9,70.8,29.29
10241,06NB50 625125,60.7,69.9,28.75
10660,06NB50 625125,63.2,71.2,28.56
10662,06NB50 625125,64.1,72.1,27.15
10671,06NB50 625125,64.1,72.5,26.01
10674,06NB50 625125,65.4,73.3,24.53
10681,06NB50 625125,59.9,69.3,27.65
10700,06NB50 625125,65.9,71.8,29.24
10702,06NB50 625125,65.9,74.6,27.35
10703,06NB50 625125,64.4,71.9,29.35
10710,06NB50 625125,63.1,70.3,30.59
10711,06NB50 625125,62.4,70.0,29.83
10715,06NB50 625125,61.2,69.8,28.66
10716,06NB50 625125,62.6,69.7,28.79
10717,06NB50 625125,67.3,74.1,26.93
10746,06NB50 625125,60.4,68.8,29.2
10799,06NB50 625125,59.5,69.9,28.73
11664,06NB50 625125,62.2,70.6,29.01
13134,06NB50 625125,64.5,71.7,29.31
13137,06NB50 625125,65.7,72.3,30.94
13142,06NB50 625125,66.2,73.8,28.65
13150,06NB50 625125,68.5,72.6,28.72
13312,06NB50 625125,66.8,72.1,25.13
15574,06NB50 625125,60.8,70.2,30.68
15581,06NB50 625125,61.6,68.8,32.63
15583,06NB50 625125,63.0,69.7,29.98
15586,06NB50 625125,59.6,68.9,30.34
15593,06NB50 625125,66.1,72.5,27.33
15595,06NB50 625125,64.0,71.0,29.41
15607,06NB50 625125,64.3,71.0,27.86
15641,06NB50 625125,64.4,69.9,30.25
15653,06NB50 625125,66.0,74.3,27.8
15792,06NB50 625125,62.1,70.4,29.6
15797,06NB50 625125,63.9,71.9,25.82
15802,06NB50 625125,66.3,71.5,27.37
15804,06NB50 625125,63.1,71.7,26.78
16071,06NB50 625125,64.3,71.3,27.83
16078,06NB50 625125,62.1,69.0,31.32
16079,06NB50 625125,62.9,69.2,31.98
16083,06NB50 625125,61.4,68.5,29.87
16085,06NB50 625125,61.2,69.5,28.46
16086,06NB50 625125,63.3,69.6,29.83
16132,06NB50 625125,62.4,69.3,30.26
16133,06NB50 625125,59.7,68.9,31.13
16140,06NB50 625125,62.8,69.4,30.51
16147,06NB50 625125,63.4,69.5,30.21
16148,06NB50 625125,61.8,69.7,31.87
16152,06NB50 625125,61.8,69.9,30.66
16154,06NB50 625125,62.9,69.9,29.53
16155,06NB50 625125,59.5,69.3,31.05
16159,06NB50 625125,60.5,69.0,30.9
16161,06NB50 625125,59.8,68.5,31.76
16162,06NB50 625125,62.5,68.4,30.41
16166,06NB50 625125,64.4,69.4,28.86
16168,06NB50 625125,57.7,69.7,30.23
16169,06NB50 625125,60.6,70.1,30.64
16171,06NB50 625125,61.0,70.5,29.94
16173,06NB50 625125,60.4,68.1,31.36
16175,06NB50 625125,61.2,68.0,30.96
17951,06NB50 625125,64.9,72.5,29.33
18029,06NB50 625125,60.8,70.1,29.85
18031,06NB50 625125,60.9,69.7,31.62
18075,06NB50 625125,63.7,73.7,28.02
18078,06NB50 625125,60.8,72.4,28.61
18082,06NB50 625125,61.4,70.1,30.68
18083,06NB50 625125,59.5,69.8,29.86
18087,06NB50 625125,58.1,70.3,27.89
18090,06NB50 625125,58.6,67.8,31.8
18093,06NB50 625125,64.0,72.2,27.53
18102,06NB50 625125,62.4,70.9,29.58
18754,06NB50 625125,64.1,72.6,27.64
18784,06NB50 625125,61.3,68.9,31.11
18785,06NB50 625125,58.8,67.5,30.11
18795,06NB50 625125,67.2,73.5,28.65
19908,06NB50 625125,58.0,68.1,33.47
19910,06NB50 625125,61.3,69.5,31.86
26839,06NB50 625125,63.0,70.9,27.63
26843,06NB50 625125,62.2,69.9,34.35
26884,06NB50 625125,59.1,69.1,30.4
26889,06NB50 625125,58.9,69.0,30.42
26894,06NB50 625125,62.5,70.9,29.84
26898,06NB50 625125,61.6,70.6,30.51
26902,06NB50 625125,62.8,71.1,30.97
26905,06NB50 625125,59.6,70.5,30.67
26906,06NB50 625125,61.1,71.0,30.01
26910,06NB50 625125,60.3,70.1,29.19
26946,06NB50 625125,60.9,70.1,30.03
26960,06NB50 625125,61.0,71.4,27.5
27048,06NB50 625125,65.9,73.9,30.41
29566,06NB50 625125,59.2,67.8,29.53
29570,06NB50 625125,62.5,69.7,29.18
30632,06NB50 625125,69.2,74.0,26.23
30662,06NB50 625125,59.5,69.8,30.42
30664,06NB50 625125,64.7,71.4,30.45
30671,06NB50 625125,62.5,71.8,27.93
30677,06NB50 625125,62.2,71.1,30.14
30680,06NB50 625125,61.0,70.0,30.63
30686,06NB50 625125,60.0,70.8,31.81
30689,06NB50 625125,60.3,69.7,30.33
30693,06NB50 625125,62.2,70.1,30.76
30698,06NB50 625125,61.9,69.7,30.72
30704,06NB50 625125,60.4,69.7,30.28
30707,06NB50 625125,61.4,69.8,29.67
30714,06NB50 625125,62.9,70.1,29.14
30717,06NB50 625125,62.1,70.4,29.33
30723,06NB50 625125,62.6,69.8,30.31
30759,06NB50 625125,59.9,69.0,30.87
30763,06NB50 625125,60.1,70.6,31.87
30811,06NB50 625125,61.3,70.2,31.7
30817,06NB50 625125,59.5,69.7,30.61
30820,06NB50 625125,60.5,70.9,30.26
30827,06NB50 625125,60.9,70.9,30.93
34185,06NB50 625125,64.2,72.8,26.89
34190,06NB50 625125,66.8,72.3,28.75
34226,06NB50 625125,62.2,70.0,29.49
34316,06NB50 625125,64.2,72.2,27.11
35088,06NB50 625125,61.5,68.9,31.38
35090,06NB50 625125,60.9,69.6,30.05
35095,06NB50 625125,60.2,69.8,30.02
35098,06NB50 625125,60.1,69.5,30.47
35099,06NB50 625125,64.3,73.1,29.56
36538,06NB50 625125,62.1,69.2,32.24
38894,06NB50 625125,62.2,69.2,31.76
38899,06NB50 625125,60.5,69.8,30.5
38903,06NB50 625125,60.5,70.4,30.67
38911,06NB50 625125,61.3,70.1,30.17
38914,06NB50 625125,61.0,70.3,29.47
38917,06NB50 625125,62.3,71.7,29.89
39009,06NB50 625125,58.7,68.1,31.22
39016,06NB50 625125,63.5,70.6,29.25
39019,06NB50 625125,62.1,70.0,29.56
39023,06NB50 625125,62.4,70.4,29.33
39026,06NB50 625125,60.3,69.9,31.76
39029,06NB50 625125,61.1,70.3,30.68
39038,06NB50 625125,61.4,70.5,31.01
39044,06NB50 625125,61.9,70.2,28.76
39047,06NB50 625125,61.6,70.3,29.46
39056,06NB50 625125,63.1,70.7,28.01
39066,06NB50 625125,63.4,70.7,29.7
